gloss,text
"THAT BE SOMETHING X-WE SHOULD MAKE DESC-CLEAR AT ALL TIME .
","that is something we should make clear at all times .
"
"X-WE MUST DESC-REFORE BE VIGILANT , AND EUROPEAN PARLIAMENT HAVE DESC-FULLY APPRECIATE THIS .
","we must therefore be vigilant , and the european parliament has fully appreciated this .
"
"LIMIT VALUE SHOULD DESC-REFORE BE DESC-REGULARLY UPDATE TO GUARANTEE PUBLIC DESC-SUITABLE LEVEL PROTECTION .
","the limit values should therefore be regularly updated to guarantee the public a suitable level of protection .
"
"C ONE OBJECTIVE X-WE OUTLINE IN LISBON IN 2000 BE KNOWLEDGE BASE SOCIETY .
","cs one of the objectives we outlined in lisbon in 2000 was a knowledge based society .
"
"EDUCATION BE DESC-INDEED MOST DESC-OFTEN FOUNDATION FOR ACHIEVE X-WE OBJECTIVE .
","education is indeed most often the foundation for achieving our objectives .
"
"ET X-I DESC-ALSO VOTE IN FAVOR THIS REPORT , BECAUSE ISSUE BE DESC-VERY DESC-IMPORTANT .
","et I also voted in favour of this report , because the issue is very important .
"
"DESC-RE BE DESC-MANY PROBLEM IN THIS AREA .
","there are many problems in this area .
"
"WHAT DO THAT MEAN TO X-Y ?
","what does that mean to them ?
"
"X-IT MEAN FAILURE X-Y FUTURE PROSPECTS IN LIFE .
","it means the failure of their future prospects in life .
"
"EUROPE BE AGEING .
","europe is ageing .
"
"X-WE BE DESC-NOT DESC-RICH DESC-ENOUGH TO BE DESC-ABLE TO POSTPONE DEAL WITH THIS TOPIC .
","we are not rich enough to be able to postpone dealing with this topic .
"
"ALL CHILD MUST OBTAIN EDUCATION THAT GIVE X-Y DESC-FAIR OPPORTUNITY IN WORLD X-WE DESC-LIVE IN TODAY .
","all children must obtain an education that gives them fair opportunities in the world we live in today .
"
"NL MR PRESIDENT , X-I SHOULD LIKE TO THANK INTERPRETER FOR WORK DESC-OVERTIME .
","nl mr president , I should like to thank the interpreters for working overtime .
"
"THIS BE DESC-FUNDAMENTAL ISSUE .
","this is a fundamental issue .
"
"X-I DESC-ALSO HAVE DESC-OR OBJECTION TO SCHMITT REPORT , THOUGH .
","i also have other objections to the schmitt report , though .
"
"X-I SUPPORT IMPLEMENTATION I2010 STRATEGY .
","i support the implementation of the i2010 strategy .
"
"THIS STRATEGY BE REGARD AS DESC-FUNDAMENTAL ELEMENT IN DESC-REVITALISED LISBON PARTNERSHIP FOR GROWTH AND JOB .
","this strategy is regarded as a fundamental element in the revitalised lisbon partnership for growth and jobs .
"
"X-I AGREE WITH REMARK RAPPORTEUR CONCERN DESC-FURR INTEGRATION BOTH MARKET .
","i agree with the remarks of the rapporteur concerning further integration of both markets .
"
"X-I HAVE VOTE IN FAVOR MR VARVITSIOTUS X-POSS REPORT ON DESC-MUTUAL RECOGNITION TO DECISION ON SUPERVISION MEASURE .
","i have voted in favour of mr varvitsiotis's report on the mutual recognition to decisions on supervision measures .
"
"DESC-FINALLY , X-IT BE DESC-VITAL THAT SE BE SIMPLIFY .
","finally , it is vital that these are simplified .
"
"MR TAKKULUM X-POSS REPORT RAISE DESC-SIGNIFICANT DESC-SOCIAL PROBLEM .
","mrs takkula's report raises a significant social problem .
"
"THIS BE DESC-FIRST AND DESC-FUNDAMENTAL STEP TOWARDS DESC-FULL INTEGRATION INTO SOCIETY .
","this is the first and a fundamental step towards full integration into society .
"
"EVERY CHILD HAVE DESC-RIGHT TO EDUCATION .
","every child has a right to education .
"
"INTEGRATION MIGRANT , WHER RESIDE DESC-LEGALLY OR DESC-ILLEGALLY , BE PRIORITY FOR X-WE DESC-SOCIALIST .
","the integration of migrants , whether residing legally or illegally , is a priority for us socialists .
"
"X-WE DO DESC-NOT ACCEPT HIERARCHY THAT DESC-PARLIAMENTARY DESC-RIGHT WISH TO CREATE AMONGST MIGRANT .
","we do not accept the hierarchy that the parliamentary right wishes to create amongst migrants .
"
"THAT BE DESC-SIMPLY CONTRARY TO DESC-INTERNATIONAL CONVENTION .
","that is simply contrary to the international conventions .
"
"CONTENT AND ORGANIZATION EDUCATION AND TRAINING BE DESC-NATIONAL COMPETENCE .
","the content and organisation of education and training are national competences . 
"
"X-I THINK ANSWER LIE IN PARAGRAPH QUOTE ABOVE .
","i think the answer lies in the paragraph quoted above .
"
"X-I VOTE IN FAVOR DESC-SLIMMER BUT MORE FOCUS EU .
","i vote in favour of a slimmer but more focused eu .
"
"X-I CAN DESC-ONLY ADMIRE DESC-OPPORTUNISTIC HYPOCRISY X-MY TORY COLLEAGUE .
","i can only admire the opportunistic hypocrisy of my tory colleagues .
"
"PRINCIPLE SUBSIDIARITY REQUIRE THAT THIS ISSUE BE DEAL WITH BY MEMBER STATE X-MSELVES .
","the principle of subsidiarity requires that this issue be dealt with by the member states themselves .
"
"FOR SE REASON , X-WE VOTE AGAINST THIS REPORT .
","for these reasons , we voted against this report .
"
"FOR SE REASON , X-WE HAVE ABSTAIN ON THIS REPORT .
","for these reasons , we have abstained on this report .
"
"X-WE BELIEVE THAT ACTION SHOULD BE TAKE TO ASSIST ALL DESC-VULNERABLE PUPIL .
","we believe that actions should be taken to assist all vulnerable pupils .
"
"IN DENMARK , DECISION BE LEAVE TO MUNICIPALITY AND X-WE BELIEVE THAT SHOULD BE RESPECT .
","in denmark , the decision is left to the municipalities and we believe that should be respected .
"
"CONCENTRATION FOREIGNER 20 , 50 OR DESC-EVEN 90 % SHOW THAT DESC-MULTICULTURAL VISION HAVE FAIL .
","concentrations of foreigners of 20 , 50 or even 90 % show that the multicultural vision has failed .
"
"DESC-MANY CHILD ROMANIAN DESC-IMMIGRANT , FOR INSTANCE , FACE DIFFICULTY IN THIS RESPECT .
","many children of romanian immigrants , for instance , face difficulties in this respect .
"
"AT THIS DESC-VERY MOMENT , ROMANIUM , FOR EXAMPLE , BE GO THROUGH EXPERIENCE WHICH REFLECT THIS .
","at this very moment , romania , for example , is going through an experience which reflects this .
"
"ROMANIUM BE BY NO MEAN DESC-UNIQUE CASE .
","romania is by no means a unique case .
"
"GREEK COMMUNIST PARTY VOTE AGAINST REPORT .
","the greek communist party voted against the report .
"
"X-IT BE DESC-TYPICAL AND DESC-UNACCEPTABLE THAT REPORT REFER DESC-SOLELY TO CHILD DESC-LEGAL DESC-IMMIGRANT .
","it is typical and unacceptable that the report refers solely to the children of legal immigrants .
"
"STATISTICS ON DROP OUT RATE DESC-IMMIGRANT AT DESC-HIGHER LEVEL EDUCATION BE DESC-ILLUSTRATIVE .
","the statistics on the drop out rates of immigrants at the higher levels of education are illustrative .
"
"X-I ABSTAIN FROM VOTE ON MR TAKKULUM X-POSS REPORT ON EDUCATE CHILD MIGRANT .
","i abstained from voting on mr takkula's report on educating the children of migrants .
"
"EVERY CHILD HAVE DESC-RIGHT TO EDUCATION .
","every child has a right to education .
"
"INTEGRATION MIGRANT , WHER RESIDE DESC-LEGALLY OR DESC-ILLEGALLY , BE PRIORITY FOR X-WE DESC-SOCIALIST .
","the integration of migrants , whether residing legally or illegally , is a priority for us socialists .
"
"X-WE DO DESC-NOT ACCEPT HIERARCHY THAT DESC-PARLIAMENTARY DESC-RIGHT WISH TO CREATE AMONGST MIGRANT .
","we do not accept the hierarchy that the parliamentary right wishes to create amongst migrants .
"
"THAT BE DESC-SIMPLY CONTRARY TO DESC-INTERNATIONAL CONVENTION .
","that is simply contrary to the international conventions .
"
"MOR AND FAR BE MOST DESC-IMPORTANT PEOPLE FOR CHILD .
","mother and father are the most important people for a child .
"
"THIS DESC-ALSO APPLY IN DESC-POOREST FAMILY AND IN DESC-IMMIGRANT FAMILY .
","this also applies in the poorest families and in immigrant families .
"
"DESC-EVEN IN DESC-IMMIGRANT FAMILY MOR AND FAR BE DESC-DIFFERENT BUT DESC-COMPLEMENTARY .
","even in immigrant families mothers and fathers are different but complementary .
"
"X-WE SHOULD DESC-NOT SUPPORT MOR WITHOUT DO DESC-SAME THING FOR FAR AS DESC-WELL .
","we should not support mothers without doing the same thing for fathers as well .
"
"X-I DESC-SIMPLY WANT TO ASSERT DESC-UNIVERSAL DESC-GENERAL DECLARATION DESC-HUMAN RIGHTS .
","i simply want to assert the universal general declaration of human rights .
"
"DESC-IMMIGRANT FAMILY HAVE THIS DESC-RIGHT AS DESC-WELL .
","immigrant families have this right as well .
"
"DESC-SUCH ISSUE BE INDIVIDUAL RESPONSIBILITY EACH MEMBER STATE .
","such issues are the individual responsibility of each member state .
"
"DESC-LEAN REPORT ON EU CITIZENSRIGHT .
","in writing . I supported the vălean report on eu citizensrights .
"
"DA DANISH DESC-LIBERAL PARTY X-POSS MEP HAVE VOTE AGAINST THIS REPORT .
","in writing . da the danish liberal party's meps have voted against this report .
"
"X-I FIND THIS SOLUTION TO BE DESC-POINTLESS AND DESC-SUPERFICIAL .
","i find this solution to be pointless and superficial .
"
"X-I THINK THAT THIS SITUATION HAVE DESC-NEGATIVE INFLUENCE , AND DESC-NOT DESC-ONLY ON PROCESS INTEGRATION .
","i think that this situation has a negative influence , and not only on the process of integration .
"
"X-WE SHOULD STRIVE TO REMOVE EXIST BARRIER AS DESC-SOON AS DESC-POSSIBLE .
","we should strive to remove existing barriers as soon as possible .
"
"X-WE SHARE REPORT X-POSS DESC-OVERARCHING IDEA IMPROVE EUROPEAN CITIZENSHIP AND IMPROVE FREEDOM MOVEMENT .
","we share the report's overarching idea of improved european citizenship and improved freedom of movement .
"
"CONCRETE STEP HAVE BE TAKE TO MAKE EUROPEAN CITIZENSHIP REALITY .
","concrete steps have been taken to make european citizenship a reality .
"
"X-IT BE DESC-VITAL THAT DESC-SOCIAL AND DESC-POLITICAL TIE BETWEEN EU CITIZEN CONTINUE TO BE STRENGN .
","it is vital that social and political ties between eu citizens continue to be strengthened .
"
"X-WE NEED TO STRENGN EUROPEAN CITIZENSHIP BECAUSE X-IT BE DESC-CENTRAL PLANK FREEDOM MOVEMENT .
","we need to strengthen european citizenship because it is the central plank of freedom of movement .
"
"FOR EXAMPLE , EP
","for example , the ep 
"
"THIS BE HYPOCRISY AT X-ITS DESC-BEST .
","this is hypocrisy at its best .
"
"REPORT BY MR GACEK ON UNION CITIZENSHIP BE DESC-REAL FRAUD .
","the report by mrs gacek on union citizenship is a real fraud .
"
"THIS BE WHY RAPPORTEUR BE INTRODUCE DESC-NEW CONCEPT INTRA COMMUNITY MIGRANT , SPECIES THAT BE PROLIFERATE .
","this is why the rapporteur is introducing a new concept of intra community migrant , a species that is proliferating .
"
"THIS BE DESC-SERIOUS ATTACK ON DESC-NATIONAL IDENTITY AND COHESION .
","this is a serious attack on national identity and cohesion .
"
"DESC-DEEP DESC-DOWN , THOUGH , THAT MAY BE DESC-JUST WHAT X-YOU WANT .
","deep down , though , that may be just what you want .
"
"X-Y OBJECTIVE BE TO LEAD WORKER , DESC-ESPECIALLY DESC-YOUNG PEOPLE , DESC-UP DESC-IDEOLOGICAL GARDEN PATH .
","their objective is to lead the workers , especially young people , up an ideological garden path .
"
"DISOBEDIENCE , OPPOSITION AND RUPTURE WITH EU BE WAY DESC-FORWARD WHICH BE IN PEOPLE X-POSS INTEREST .
","disobedience , opposition and rupture with the eu are the way forward which is in the people's interest .
"
"WORKER CAN AND WILL SEND THIS MESSAGE THROUGH BALLOT BOX DURING EUROPEAN ELECTION IN JUNE .
","the workers can and will send this message through the ballot box during the european elections in june .
"
"X-I DECIDE TO VOTE AGAINST MR GACEK X-POSS REPORT ON PROBLEM AND PROSPECTS CONCERN EUROPEAN CITIZENSHIP .
","i decided to vote against mrs gacek's report on problems and prospects concerning european citizenship .
"
"X-I VOTE IN FAVOR MR MARKOV X-POSS REPORT ON COMMUNITY STATISTICS ON DESC-EXTERNAL TRADE .
","i voted in favour of mr markov's report on community statistics on external trade .
"
"THIS INCLUDE FOODSTUFF IMPORT FROM DESC-THIRD COUNTRY .
","this includes foodstuffs imported from third countries .
"
"KEY POINT ADDRESS IN DESC-NEW TEXT INCLUDE FOLLOW
","the key points addressed in the new text include the following 
"
"X-I AGREE WITH AIM , BUT DESC-NOT WITH METHOD .
","i agree with the aim , but not with the methods .
"
"X-I WOULD TACKLE ROOT PROBLEM , WHICH DESC-ACTUALLY LIE IN DESC-OR MATTER .
","i would tackle the root of the problem , which actually lies in other matters .
"
"INTERVENTION SHOULD TARGET DESC-LOW INCOME HOUSEHOLD , AS DEFINE BY DESC-NATIONAL LEGISLATION IN FORCE .
","interventions should target low income households , as defined by the national legislation in force .
"
"THIS BE DESC-NOW DESC-COMMON KNOWLEDGE .
","this is now common knowledge .
"
"DESC-HOWEVER , DESC-RE BE NO MENTION THIS IN REPORT .
","however , there is no mention of this in the report .
"
"THAT BE DESC-REGRETTABLE , BUT DESC-HARDLY DESC-SURPRISING .
","that is regrettable , but hardly surprising .
"
"X-IT GO WITHOUT SAY THAT X-WE VOTE AGAINST REPORT .
","it goes without saying that we voted against the report .
"
"DESC-RE HAVE BE DESC-TOO DESC-LITTLE INVESTIGATION INTO CASE X-I REFER TO , AND DESC-NOT DESC-ENOUGH CHANGE HAVE RESULT .
","there has been too little investigation into the cases I refer to , and not enough change has resulted .
"
"MASS LEGALISATION DESC-RECENT DECADE DESC-ALSO CAST DOUBT ON WHER X-IT BE SENSIBLE TO PROCEED WITH HARMONISATION .
","the mass legalisations of recent decades also cast doubt on whether it is sensible to proceed with harmonisation .
"
"X-I VOTE AGAINST MR DESC-LAX X-POSS REPORT ON COMMUNITY CODE ON VISA .
","i voted against mr lax's report on the community code on visas .
"
"X-I DESC-REFORE DO DESC-NOT BELIEVE THAT PROPOSE SYSTEM SHOULD BE APPROVE AND CARRY DESC-FORWARD .
","i therefore do not believe that the proposed system should be approved and carried forward .
"
"IN ADDITION , DOCUMENT DESC-NECESSARY IN ORDER TO OBTAIN DESC-APPROPRIATE VISA WILL BE SPECIFY .
","in addition , the documents necessary in order to obtain an appropriate visa will be specified .
"
"THIS WILL FACILITATE MOVEMENT CITIZEN AND DESC-ALSO WORKER BETWEEN COUNTRY BOTH WITHIN AND WITHOUT COMMUNITY .
","this will facilitate movement of citizens and also of workers between countries both within and without the community .
"
"EU VISA POLICY SHOULD REFLECT DESC-FUNDAMENTAL PRIORITY X-ITS DESC-FOREIGN POLICY .
","eu visa policy should reflect the fundamental priorities of its foreign policy .
"
"ECOLABEL BE DESC-YET ANOR MISLEAD METHOD ADVERTISING PRODUCT DESC-DUBIOUS QUALITY AND DESC-ECOLOGICAL IMPACT .
","the ecolabel is yet another misleading method of advertising products of dubious quality and ecological impact .
"
"PEOPLE DESC-RESPONSIBLE FOR DESTROY ENVIRONMENT CAN DESC-NOT AT DESC-SAME TIME BE APPOINT TO PROTECT X-IT .
","the people responsible for destroying the environment cannot at the same time be appointed to protect it .
"
"X-I VOTE IN FAVOR MR TATARELLUM X-POSS REPORT ON COMMUNITY ECOLABEL SCHEME .
","i voted in favour of mr tatarella's report on a community ecolabel scheme .
"
"EUROPEAN PARLIAMENT PRACTICE WHAT X-IT PREACH IN TERM ECO DESC-FRIENDLY BEHAVIOR !
","in writing . the european parliament practises what it preaches in terms of eco friendly behaviour !
"
"DESC-VOLUNTARILY , X-WE HAVE TAKE X-IT UPON X-OURSELVES TO IMPROVE X-WE DESC-ENVIRONMENTAL PERFORMANCE ON DAY TO DAY BASIS .
","voluntarily , we have taken it upon ourselves to improve our environmental performance on a day to day basis .
"
"IN FEBRUARY 2007 , X-I DESC-PERSONALLY ASK PRESIDENT TO INITIATE EMA IN PARLIAMENT .
","in february 2007 , I personally asked the president to initiate emas in the parliament .
"
"AS RESULT AUDIT IN PARLIAMENT , X-WE HAVE RECEIVE EMA LOGO .
","as a result of an audit in parliament , we have received an emas logo .
"
"FOR SE REASON , X-IT BE DESC-ESSENTIAL TO VOTE DESC-YES ON THIS LEGISLATION .
","for these reasons , it is essential to vote yes on this legislation .
"
"EMA BE DESC-FIRST INTRODUCE IN 1995 AND BE EXTEND IN 2001 TO BOTH PUBLIC AND DESC-PRIVATE SECTOR ORGANIZATION .
","emas was first introduced in 1995 and was extended in 2001 to both public and private sector organisations .
"
"COMBATE DISCRIMINATION ALL KIND AND BRING ABOUT PARTICIPATION IN PUBLIC LIFE BY DESC-DISABLED BE DESC-IMPORTANT JOB .
","combating discrimination of all kinds and bringing about participation in public life by the disabled are important jobs .
"
"X-IT WILL CREATE UNCERTAINTY AND FACILITATE ABUSE .
","it will create uncertainty and facilitate abuse .
"
"THAT CAN DESC-NOT BE RAISON D ?TRE DESC-PROGRESSIVE ANTI DISCRIMINATION POLICY .
","that cannot be the raison d être of a progressive anti discrimination policy .
"
"GERMANY , IN DESC-PARTICULAR , HAVE DESC-ALREADY GO DESC-FAR BEYOND DESC-PREVIOUS STIPULATION FROM BRUSSELS .
","germany , in particular , has already gone far beyond previous stipulations from brussels .
"
"X-WE DESC-REFORE VOTE AGAINST THIS REPORT .
","we therefore voted against this report .
"
"THAT BE WHY X-WE HAVE DECIDE TO ABSTAIN ON THIS REPORT .
","that is why we have decided to abstain on this report .
"
"NL X-I DESC-EMPHATICALLY VOTE AGAINST THIS REPORT .
","in writing . nl I emphatically voted against this report .
"
"QUESTION BE DESC-ONLY WHER EUROPE SHOULD BE INVOLVE IN THIS .
","the question is only whether europe should be involved in this .
"
"X-I DO DESC-NOT THINK DESC-SO .
","i do not think so .
"
"MEASURE TO TACKLE DISCRIMINATION SHOULD REMAIN DESC-EXCLUSIVE COMPETENCE MEMBER STATE .
","measures to tackle discrimination should remain the exclusive competence of the member states .
"
"DESC-INDEED , DISCRIMINATION BE ALL DESC-SUDDEN ALLOW WHEN X-IT CONCERN DISCRIMINATION ON BASIS DESC-POLITICAL ORIENTATION .
","indeed , discrimination is all of a sudden allowed when it concerns discrimination on the basis of political orientation .
"
"DESC-N PRINCIPLE EQUALITY MAY AS DESC-WELL BE DO DESC-AWAY WITH DESC-COMPLETELY .
","then the principle of equality may as well be done away with completely .
"
"THAT BE DESC-RIDICULOUS .
","that is ridiculous .
"
"X-I BE PLEASE TO SUPPORT X-IT .
","i was pleased to support it .
"
