id,text,gloss
20477,sk slovakia is today commemorating the 21st anniversary of the bratislava candlelight demonstration .,SK SLOVAKIUM BE TODAY COMMEMORATE DESC-21ST ANNIVERSARY BRATISLAVA CANDLELIGHT DEMONSTRATION .
20478,i firmly believe that president lukashenko should not come to prague .,X-I DESC-FIRMLY BELIEVE THAT PRESIDENT LUKASHENKO SHOULD DESC-NOT COME TO PRAGUE .
20479,this can happen only when he is motivated by pragmatic reasons to do so .,THIS CAN HAPPEN DESC-ONLY WHEN X-HE BE MOTIVATE BY DESC-PRAGMATIC REASON TO DO DESC-SO .
20480,i am therefore unable to give him the floor .,X-I BE DESC-REFORE DESC-UNABLE TO GIVE X-HE FLOOR .
20481,"president in office of the council . mr president , I should like to thank you for all your contributions .","MR PRESIDENT , X-I SHOULD LIKE TO THANK X-YOU FOR ALL X-YOU CONTRIBUTION ."
20482,these steps are significant in the belarus context .,SE STEP BE DESC-SIGNIFICANT IN BELARUS CONTEXT .
20483,"at the same time , the picture is mixed , and I think the debate here confirmed that .","AT DESC-SAME TIME , PICTURE BE DESC-MIXED , AND X-I THINK DEBATE DESC-HERE CONFIRM THAT ."
20484,"i believe that we can offer belarus concrete incentives within the eastern partnership , but not only .","X-I BELIEVE THAT X-WE CAN OFFER BELARUS CONCRETE INCENTIVE WITHIN DESC-EASTERN PARTNERSHIP , BUT DESC-NOT DESC-ONLY ."
20485,"listen carefully no decision has yet been taken on this issue , which requires consensus within the eu .","LISTEN DESC-CAREFULLY NO DECISION HAVE DESC-YET BE TAKE ON THIS ISSUE , WHICH REQUIRE CONSENSUS WITHIN EU ."
20486,it will be addressed closer to the summit and I do not want to speculate at this stage .,X-IT WILL BE ADDRESS CLOSER TO SUMMIT AND X-I DO DESC-NOT WANT TO SPECULATE AT THIS STAGE .
20487,but the pressure itself is simply the fact that no invitation has yet been issued .,BUT PRESSURE X-ITSELF BE DESC-SIMPLY FACT THAT NO INVITATION HAVE DESC-YET BE ISSUE .
20488,i should like to thank you once again for this interesting debate and your valuable input .,X-I SHOULD LIKE TO THANK X-YOU DESC-ONCE DESC-AGAIN FOR THIS DESC-INTERESTING DEBATE AND X-YOU DESC-VALUABLE INPUT .
20489,we very much appreciate the interest and active involvement of the european parliament on belarus .,X-WE DESC-VERY DESC-MUCH APPRECIATE INTEREST AND DESC-ACTIVE INVOLVEMENT EUROPEAN PARLIAMENT ON BELARUS .
20490,we are also encouraged by your support for the eu's policy of engagement .,X-WE BE DESC-ALSO ENCOURAGE BY X-YOU SUPPORT FOR EU X-POSS POLICY ENGAGEMENT .
20491,"as we know , belarus has made some progress but , naturally , much remains to be done .","AS X-WE KNOW , BELARUS HAVE MAKE SOME PROGRESS BUT , DESC-NATURALLY , DESC-MUCH REMAIN TO BE DO ."
20492,"of course , mrs schroedter , this is a critical dialogue that is absolutely clear .","COURSE , MR SCHROEDTER , THIS BE DESC-CRITICAL DIALOGUE THAT BE DESC-ABSOLUTELY DESC-CLEAR ."
20493,"naturally , other issues remain , not least the university issue .","DESC-NATURALLY , DESC-OR ISSUE REMAIN , DESC-NOT DESC-LEAST UNIVERSITY ISSUE ."
20494,"to that end , monitoring is required .","TO THAT END , MONITORING BE REQUIRE ."
20495,"i believe that this is very important , and we are all the same observing some progress .","X-I BELIEVE THAT THIS BE DESC-VERY DESC-IMPORTANT , AND X-WE BE ALL DESC-SAME OBSERVE SOME PROGRESS ."
20496,"on the issue of visas , the situation is equally clear .","ON ISSUE VISA , SITUATION BE DESC-EQUALLY DESC-CLEAR ."
20497,"individual member states can reduce the cost of visas for specific categories , including citizens .","INDIVIDUAL MEMBER STATE CAN REDUCE COST VISA FOR SPECIFIC CATEGORY , INCLUDE CITIZEN ."
20498,"naturally , we shall maintain this position .","DESC-NATURALLY , X-WE SHALL MAINTAIN THIS POSITION ."
20499,the vote will take place during the next part session .,VOTE WILL TAKE PLACE DURING NEXT PART SESSION .
20500,european conscience and totalitarianism debate,EUROPEAN CONSCIENCE AND TOTALITARIANISM DEBATE
20501,the next item is the statements by the council and the commission on european conscience and totalitarianism .,NEXT ITEM BE STATEMENT BY COUNCIL AND COMMISSION ON EUROPEAN CONSCIENCE AND TOTALITARIANISM .
20502,it was a turning point for us and for europe .,X-IT BE TURN POINT FOR X-WE AND FOR EUROPE .
20503,in fact it was our proposal .,IN FACT X-IT BE X-WE PROPOSAL .
20504,this parliament has proposed that a day be set aside to remember the victims of nazism and totalitarian communism .,THIS PARLIAMENT HAVE PROPOSE THAT DAY BE SET DESC-ASIDE TO REMEMBER VICTIM NAZISM AND TOTALITARIAN COMMUNISM .
20505,the european union stands for everything that is the opposite of totalitarianism .,EUROPEAN UNION STAND FOR EVERYTHING THAT BE OPPOSITE TOTALITARIANISM .
20506,this is a guarantee which we all share .,THIS BE GUARANTEE WHICH X-WE ALL SHARE .
20507,it is something to be valued and never taken lightly .,X-IT BE SOMETHING TO BE VALUE AND DESC-NEVER TAKE DESC-LIGHTLY .
20508,a collective conscience and memory of the past is a way of reinforcing the value of the present .,DESC-COLLECTIVE CONSCIENCE AND MEMORY PAST BE WAY REINFORCE VALUE DESC-PRESENT .
20509,"thirdly , we owe it for the sake of our children .","DESC-THIRDLY , X-WE OWE X-IT FOR SAKE X-WE CHILD ."
20510,there are lessons to be learnt from our totalitarian past .,DESC-RE BE LESSON TO BE LEARN FROM X-WE TOTALITARIAN PAST .
20511,perhaps most important of these is the need for respect for human rights and fundamental values .,DESC-PERHAPS MOST DESC-IMPORTANT SE BE NEED FOR RESPECT FOR DESC-HUMAN RIGHTS AND DESC-FUNDAMENTAL VALUE .
20512,human rights and freedom cannot be taught in a vacuum .,DESC-HUMAN RIGHTS AND FREEDOM CAN DESC-NOT BE TEACH IN VACUUM .
20513,"the seeds of human rights violations lie in history , sometimes in distant history .","SEED DESC-HUMAN RIGHTS VIOLATION LIE IN HISTORY , DESC-SOMETIMES IN DESC-DISTANT HISTORY ."
20514,that is the hallmark of democracy .,THAT BE HALLMARK DEMOCRACY .
20515,it is something we should value .,X-IT BE SOMETHING X-WE SHOULD VALUE .
20516,i very much believe that the subject of our debate today rises above party politics .,X-I DESC-VERY DESC-MUCH BELIEVE THAT SUBJECT X-WE DEBATE TODAY RISE ABOVE PARTY POLITICS .
20517,it is about values more important than party differences .,X-IT BE ABOUT VALUE MORE DESC-IMPORTANT THAN PARTY DIFFERENCE .
20518,given the recent history of my country I have focused in particular on the tragedy of totalitarian communist rule .,GIVE DESC-RECENT HISTORY X-MY COUNTRY X-I HAVE FOCUS IN DESC-PARTICULAR ON TRAGEDY TOTALITARIAN COMMUNIST RULE .
20519,this report will provide the opportunity for further political debate on the need for new eu initiatives .,THIS REPORT WILL PROVIDE OPPORTUNITY FOR DESC-FURR DESC-POLITICAL DEBATE ON NEED FOR DESC-NEW EU INITIATIVE .
20520,the study will be completed by the end of this year .,STUDY WILL BE DESC-COMPLETE BY END THIS YEAR .
20521,we are also drawing on the contributions made at the hearing and published by the slovene presidency .,X-WE BE DESC-ALSO DRAW ON CONTRIBUTION MAKE AT HEARING AND PUBLISH BY SLOVENE PRESIDENCY .
20522,i am looking forward to the debate .,X-I BE LOOK DESC-FORWARD TO DEBATE .
20523,in 2005 we adopted a resolution on the 60th anniversary of the end of the second world war .,IN 2005 X-WE ADOPT RESOLUTION ON DESC-60TH ANNIVERSARY END DESC-SECOND WORLD WAR .
20524,is the commission providing funding from the europe for citizens instrument ?,BE COMMISSION PROVIDE FUNDING FROM EUROPE FOR CITIZEN INSTRUMENT ?
20525,how are you supporting the establishment of 23rd august asvictims of totalitarianismday ?,HOW BE X-YOU SUPPORT ESTABLISHMENT DESC-23RD AUGUST ASVICTIM TOTALITARIANISMDAY ?
20526,"finally , will the czech presidency pass on its special task to the swedish presidency ?","DESC-FINALLY , WILL CZECH PRESIDENCY PASS ON X-ITS DESC-SPECIAL TASK TO SWEDISH PRESIDENCY ?"
20527,those crimes must never be forgotten and we must honour the victims .,THOSE CRIME MUST DESC-NEVER BE FORGET AND X-WE MUST HONOR VICTIM .
20528,"i , myself , am a historian .","X-I , X-MYSELF , BE HISTORIAN ."
20529,it is important to debate this .,X-IT BE DESC-IMPORTANT TO DEBATE THIS .
20530,what are the dividing lines between politicians and historians ?,WHAT BE DIVIDE LINE BETWEEN POLITICIAN AND HISTORIAN ?
20531,"what do we want to commemorate , and how ?","WHAT DO X-WE WANT TO COMMEMORATE , AND HOW ?"
20532,the debate will undoubtedly rumble on .,DEBATE WILL DESC-UNDOUBTEDLY RUMBLE ON .
20533,"we , as a group , will certainly get involved .","X-WE , AS GROUP , WILL DESC-CERTAINLY GET INVOLVE ."
20534,there followed a long period of peace and prosperity such as has never been seen before .,DESC-RE FOLLOW DESC-LONG PERIOD PEACE AND PROSPERITY DESC-SUCH AS HAVE DESC-NEVER BE SEE BEFORE .
20535,"when we talk of totalitarianism , we do so not because we want to live in the past .","WHEN X-WE TALK TOTALITARIANISM , X-WE DO DESC-SO DESC-NOT BECAUSE X-WE WANT TO DESC-LIVE IN PAST ."
20536,pacification is not possible without processing the past and acknowledging the truth .,PACIFICATION BE DESC-NOT DESC-POSSIBLE WITHOUT PROCESS PAST AND ACKNOWLEDGE TRUTH .
20537,there is still much to be done .,DESC-RE BE DESC-STILL DESC-MUCH TO BE DO .
20538,it is simply outrageous that people cannot get to know their own past .,X-IT BE DESC-SIMPLY DESC-OUTRAGEOUS THAT PEOPLE CAN DESC-NOT GET TO KNOW X-Y DESC-OWN PAST .
20539,it is important that we make clear to them as well the horrors of both regimes .,X-IT BE DESC-IMPORTANT THAT X-WE MAKE DESC-CLEAR TO X-Y AS DESC-WELL HORROR BOTH REGIME .
20540,europe's conscience cannot be clear without fully examining and remembering the past .,EUROPE X-POSS CONSCIENCE CAN DESC-NOT BE DESC-CLEAR WITHOUT DESC-FULLY EXAMINE AND REMEMBER PAST .
20541,he voluntarily entered the auschwitz extermination camp to organise the resistance movement and gather information about mass murders .,X-HE DESC-VOLUNTARILY ENTER AUSCHWITZ EXTERMINATION CAMP TO ORGANISE RESISTANCE MOVEMENT AND GAR INFORMATION ABOUT MASS MURDER .
20542,i should like to add one further comment .,X-I SHOULD LIKE TO ADD ONE DESC-FURR COMMENT .
20543,yesterday in parliament we celebrated the european day of home made ice cream .,YESTERDAY IN PARLIAMENT X-WE CELEBRATE EUROPEAN DAY HOME MAKE ICE CREAM .
20544,it is intolerable and unbearable that in twenty years this has not happened .,X-IT BE DESC-INTOLERABLE AND DESC-UNBEARABLE THAT IN TWENTY YEAR THIS HAVE DESC-NOT HAPPEN .
20545,both inhumane dictatorships deserve equal condemnation .,BOTH INHUMANE DICTATORSHIP DESERVE DESC-EQUAL CONDEMNATION .
20546,so be it !,DESC-SO BE X-IT !
20547,the radical right needs it also because of the forthcoming elections .,DESC-RADICAL DESC-RIGHT NEED X-IT DESC-ALSO BECAUSE DESC-FORTHCOMING ELECTION .
20548,"it has nothing to do with objective , genuinely independent assessments .","X-IT HAVE NOTHING TO DO WITH OBJECTIVE , DESC-GENUINELY DESC-INDEPENDENT ASSESSMENT ."
20549,there are already enough historical institutes and centres dealing with that .,DESC-RE BE DESC-ALREADY DESC-ENOUGH DESC-HISTORICAL INSTITUTE AND CENTER DEAL WITH THAT .
20550,"i am not blind of course and under so called communism there was repression , injustice and coercion .","X-I BE DESC-NOT DESC-BLIND COURSE AND UNDER DESC-SO CALL COMMUNISM DESC-RE BE REPRESSION , INJUSTICE AND COERCION ."
20551,"yes , it is necessary to investigate and justly condemn the crimes .","DESC-YES , X-IT BE DESC-NECESSARY TO INVESTIGATE AND DESC-JUSTLY CONDEMN CRIME ."
20552,"so the question is why , 61 years later , we still have to argue about the same problems .","DESC-SO QUESTION BE WHY , 61 YEAR DESC-LATER , X-WE DESC-STILL HAVE TO ARGUE ABOUT DESC-SAME PROBLEM ."
20553,"no , we have to deal with , not argue about , the question of dictatorships .","NO , X-WE HAVE TO DEAL WITH , DESC-NOT ARGUE ABOUT , QUESTION DICTATORSHIP ."
20554,it is not a matter for academic study .,X-IT BE DESC-NOT MATTER FOR DESC-ACADEMIC STUDY .
20555,we have enough testimonies of mass crimes .,X-WE HAVE DESC-ENOUGH TESTIMONY MASS CRIME .
20556,we need political and moral will to proceed .,X-WE NEED DESC-POLITICAL AND DESC-MORAL WILL TO PROCEED .
20557,"i will quote the words in the language in which they were written , and so in russian","X-I WILL QUOTE WORD IN LANGUAGE IN WHICH X-Y BE WRITE , AND DESC-SO IN RUSSIAN"
20558,the member then spoke in russian,MEMBER DESC-N SPEAK IN RUSSIAN
20559,they are terrible words .,X-Y BE DESC-TERRIBLE WORD .
20560,for that poem osip mandelstam was sent into exile .,FOR THAT POEM OSIP MANDELSTAM BE SEND INTO EXILE .
20561,"he died near vladivostok , on the way to his destination .","X-HE DIE NEAR VLADIVOSTOK , ON WAY TO X-HE DESTINATION ."
20562,in december 1938 his body was placed in a common grave .,IN DECEMBER 1938 X-HE BODY BE PLACE IN DESC-COMMON GRAVE .
20563,osip mandelstam symbolises the millions of victims of 20th century totalitarian regimes in europe .,OSIP MANDELSTAM SYMBOLISE MILLION VICTIM DESC-20TH CENTURY TOTALITARIAN REGIME IN EUROPE .
20564,the europe of today should remember the victims of 20th century totalitarian regimes worldwide .,EUROPE TODAY SHOULD REMEMBER VICTIM DESC-20TH CENTURY TOTALITARIAN REGIME WORLDWIDE .
20565,"those victims are today the foundation of our memory , the lasting spiritual basis of european democracy .","THOSE VICTIM BE TODAY FOUNDATION X-WE MEMORY , LAST SPIRITUAL BASIS EUROPEAN DEMOCRACY ."
20566,at the same time we see the entire history of the 20th century .,AT DESC-SAME TIME X-WE SEE DESC-ENTIRE HISTORY DESC-20TH CENTURY .
20567,we want to face up to this problem seriously .,X-WE WANT TO FACE DESC-UP TO THIS PROBLEM DESC-SERIOUSLY .
20568,we remember the victims .,X-WE REMEMBER VICTIM .
20569,the victims of 20th century totalitarian regimes must be the foundation of today's democracy in europe .,VICTIM DESC-20TH CENTURY TOTALITARIAN REGIME MUST BE FOUNDATION TODAY X-POSS DEMOCRACY IN EUROPE .
20570,"half truths , one sided interpretations and the denial of historical truth weakens europeans .","HALF TRUTH , ONE SIDE INTERPRETATION AND DENIAL DESC-HISTORICAL TRUTH WEAKEN EUROPEAN ."
20571,it is high time to apply an objective method to the assessment of totalitarian crimes .,X-IT BE DESC-HIGH TIME TO APPLY OBJECTIVE METHOD TO ASSESSMENT TOTALITARIAN CRIME .
20572,we can make use of the experience of the european court of human rights .,X-WE CAN MAKE USE EXPERIENCE EUROPEAN COURT DESC-HUMAN RIGHTS .
20573,the view of a totalitarian regime from the outside is very different from the view from the inside .,VIEW TOTALITARIAN REGIME FROM OUTSIDE BE DESC-VERY DESC-DIFFERENT FROM VIEW FROM INSIDE .
20574,it poisons our common future if we fail to acknowledge this properly .,X-IT POISON X-WE DESC-COMMON FUTURE IF X-WE FAIL TO ACKNOWLEDGE THIS DESC-PROPERLY .
20575,europe should therefore not remain inactive .,EUROPE SHOULD DESC-REFORE DESC-NOT REMAIN DESC-INACTIVE .
20576,i welcome the fact that we have now given this issue a european platform .,X-I DESC-WELCOME FACT THAT X-WE HAVE DESC-NOW GIVE THIS ISSUE EUROPEAN PLATFORM .
20577,it is an insult to the memory of twenty million soviets who sacrificed their lives to conquer fascism .,X-IT BE INSULT TO MEMORY TWENTY MILLION DESC-SOVIET WHO SACRIFICE X-Y LIFE TO CONQUER FASCISM .
20578,that is why it is hitting out at communists and ruining socialist / communist prospects .,THAT BE WHY X-IT BE HIT OUT AT COMMUNIST AND RUIN DESC-SOCIALIST COMMUNIST PROSPECTS .
20579,you deceive yourselves .,X-YOU DECEIVE YOURSELVE .
20580,communists have no intention of bowing their heads .,COMMUNIST HAVE NO INTENTION BOW X-Y HEAD .
20581,they have defended their ideology even with their lives .,X-Y HAVE DEFEND X-Y IDEOLOGY DESC-EVEN WITH X-Y LIFE .
20582,we will not be signing any declaration of repentance for the imperialists .,X-WE WILL DESC-NOT BE SIGN ANY DECLARATION REPENTANCE FOR IMPERIALIST .
20583,their overthrow is a social need and we shall serve it consistently .,X-Y OVERTHROW BE DESC-SOCIAL NEED AND X-WE SHALL SERVE X-IT DESC-CONSISTENTLY .
20584,we are not afraid of you .,X-WE BE DESC-NOT DESC-AFRAID X-YOU .
20585,the social evolution will continue that is what terrifies you and why you are waging this campaign .,DESC-SOCIAL EVOLUTION WILL CONTINUE THAT BE WHAT TERRIFY X-YOU AND WHY X-YOU BE WAGE THIS CAMPAIGN .
20586,china is therefore the first country of which I think .,CHINA BE DESC-REFORE DESC-FIRST COUNTRY WHICH X-I THINK .
20587,"the second I would say is islamic totalitarianism , above all in connection with sharia law .","DESC-SECOND X-I WOULD SAY BE DESC-ISLAMIC TOTALITARIANISM , ABOVE ALL IN CONNECTION WITH SHARIUM LAW ."
20588,may as many of us as possible support the prague declaration .,MAY AS DESC-MANY X-WE AS DESC-POSSIBLE SUPPORT PRAGUE DECLARATION .
20589,"this is important , because the shadows of the past have not disappeared .","THIS BE DESC-IMPORTANT , BECAUSE SHADOW PAST HAVE DESC-NOT DISAPPEAR ."
20590,"in russia last year , stalin was voted one of the 12 greatest individuals in history .","IN RUSSIUM DESC-LAST YEAR , STALIN BE VOTE ONE 12 DESC-GREATEST INDIVIDUAL IN HISTORY ."
